slug,title,mode,intensity,cost_tier,estimated_minutes,duration_label,recommended_time_blocks,solo_enabled,pair_enabled,group_enabled,family_enabled,accessibility_notes,accessible_alternative_title,accessible_alternative_description
muda-o-caminho-de-hoje,Muda o caminho de hoje,recomeco,leve,gratis,10,leve,"morning,afternoon,evening",true,false,false,false,short walking alternative,Muda o ponto de vista,"Se deslocar for dificil, muda o ponto de vista: senta-te noutro lugar, olha por outra janela, ou observa um espaco conhecido com atencao nova."
repara-em-tres-coisas-novas,Repara em tres coisas novas,recomeco,leve,gratis,10,leve,"morning,afternoon,evening,night",true,false,false,false,seated possible,Observa de onde estas,"Pode ser feito sentado/a, em casa, no trabalho, no transporte, ou num lugar calmo."
uma-mensagem-simples,Uma mensagem simples,social,leve,gratis,5,micro,"lunch,evening",true,true,false,false,text-based,Mensagem no formato certo,"Pode ser texto, audio, ou chamada, conforme for mais confortavel."
escolhe-alguem-para-convidar,Escolhe alguem para convidar,coragem,leve,gratis,5,micro,"monday,evening",true,false,false,false,private-first,Escolhe sem enviar,Nao tens de enviar nada hoje. So escolhe uma pessoa que gostarias de convidar esta semana.
caminhada-curta-ou-pausa-ao-ar-livre,Caminhada curta ou pausa ao ar livre,saude,leve,gratis,15,leve,"morning,lunch,evening",true,true,false,false,short walk/roll alternative,Ar livre adaptado,"Rola, caminha pouco, senta-te ao ar livre, ou faz movimento adaptado ao teu corpo."
dez-minutos-sem-ecra,Dez minutos sem ecra,recomeco,leve,gratis,10,leve,"evening,night",true,false,false,true,seated possible,Pausa de baixo esforco,"Guarda o telemovel durante 10 minutos e faz uma coisa simples: respirar, arrumar, olhar pela janela, conversar, ou ficar quieto/a."
pergunta-melhor-a-alguem,Pergunta melhor a alguem,social,real,gratis,15,leve,"lunch,evening",false,true,false,true,text or voice,Pergunta por mensagem,Faz por mensagem se conversa presencial for cansativa.
convite-de-cafe-simples,Convite de cafe simples,coragem,real,low_cost,30,realista,"thursday,friday,weekend",false,true,false,false,seated,Cafe calmo e acessivel,"Escolhe um sitio sentado, calmo e acessivel."
jantar-sem-telemoveis,Jantar sem telemoveis,familia,real,low_cost,45,plano,"evening,weekend",false,false,false,true,seated,Lanche sem telemoveis,"Pode ser qualquer refeicao ou lanche, sentado/a."
diz-ola-a-alguem-do-teu-dia,Diz ola a alguem do teu dia,coragem,leve,gratis,5,micro,"morning,lunch,afternoon,evening",true,true,false,false,optional text alternative,Gesto simples,"Um aceno, sorriso, mensagem ou gesto simples tambem conta."
